,index,year,country,population,color
0,0,1908,China,413224872.0,"rgb(255, 0, 0)"
1,1,1908,India,293017306.0,"rgb(252, 232, 3)"
2,2,1908,United States,87074899.0,"rgb(75, 120, 184)"
3,3,1908,Germany,62839208.0,"rgb(0, 0, 0)"
4,4,1908,Japan,48715351.0,"rgb(191, 63, 191)"
5,5,1908,United Kingdom,44073361.0,"rgb(0, 36, 125)"
6,6,1908,Indonesia,41914876.0,"rgb(255, 124, 31)"
7,7,1908,France,40415980.0,"rgb(227, 98, 158)"
8,8,1908,Italy,35496784.0,"rgb(131, 14, 173)"
9,9,1908,Bangladesh,27728950.0,"rgb(75, 227, 171)"
